x 15484.6
-70 72
-62 74
-49 97
41 -49
100 -38
69 -64
25 63
-3 -71
87 -50
-21 29
-36 -79
-15 28
40 -30
42 -66
75 -70
-25 -28
58 36
-97 81
-25 -59
38 -80
55 27
93 35
-56 32
40 -99
84 80
6 -22
-87 -73
-85 81
70 -47
-63 -74
-11 74
38 -85
86 71
-46 -49
74 7
-20 89
51 1
-28 41
-70 -94
-9 65
38 -52
26 -87
57 14
-61 -89
14 2
2 -9
-63 22
-85 69
92 94
18 -10
13 98
-7 57
60 94
-25 56
75 -16
-49 13
12 43
19 -21
-70 -40
58 -83
-66 -29
15 -69
29 -14
34 18
-46 -4
-72 95
68 19
60 -75
61 15
57 38
89 -53
35 85
-97 -43
-72 24
-42 -60
-73 -53
56 73
-6 -83
-65 -89
14 -37
30 28
-86 -26
79 49
89 37
-60 24
37 -9
-9 4
34 61
51 -2
84 71
-84 -41
96 -15
64 74
-62 -68
44 13
-16 -40
-7 -97
86 -78
-68 -97
-37 26
-78 -29
97 25
-3 -70
82 -23
9 81
49 -3
-5 -54
82 17
-28 76
35 36
-33 44
-22 -82
68 93
3 -25
51 -51
38 -82
74 47
73 -16
-51 -9
0 -22
-44 -16
-99 93
-47 -17
42 83
44 -29
29 -82
-52 23
-11 -86
29 -73
-30 22
88 85
-89 62
-32 41
33 51
98 -36
67 -15
-17 -19
-97 50
-40 3
-72 53
-59 4
96 -11
47 -92
35 -55
-47 -54
-37 -2
-72 51
-51 22
-15 88
-4 26
-70 72
