x 2066.01
-89 62
-97 50
-72 51
-72 53
-72 24
-63 22
-60 24
-56 32
-52 23
-51 22
-49 13
-59 4
-51 -9
-46 -4
-40 3
-37 -2
-30 22
-9 4
2 -9
14 2
18 -10
37 -9
49 -3
51 1
51 -2
44 -29
40 -30
29 -14
19 -21
14 -37
3 -25
6 -22
0 -22
-17 -19
-25 -28
-16 -40
-25 -59
-42 -60
-47 -54
-46 -49
-47 -17
-44 -16
-66 -29
-78 -29
-86 -26
-97 -43
-84 -41
-70 -40
-73 -53
-87 -73
-70 -94
-68 -97
-65 -89
-61 -89
-63 -74
-62 -68
-36 -79
-22 -82
-11 -86
-6 -83
-7 -97
-3 -71
-3 -70
-5 -54
15 -69
29 -73
35 -55
38 -52
41 -49
51 -51
42 -66
38 -82
38 -80
29 -82
26 -87
38 -85
40 -99
47 -92
58 -83
60 -75
75 -70
86 -78
69 -64
70 -47
89 -53
87 -50
100 -38
98 -36
96 -11
96 -15
82 -23
73 -16
75 -16
67 -15
74 7
82 17
97 25
89 37
93 35
79 49
74 47
58 36
57 38
55 27
68 19
57 14
61 15
44 13
34 18
30 28
35 36
33 51
12 43
-4 26
-15 28
-21 29
-37 26
-32 41
-28 41
-33 44
-28 76
-25 56
-7 57
-9 65
-11 74
25 63
34 61
56 73
64 74
84 71
86 71
84 80
88 85
92 94
68 93
60 94
42 83
35 85
13 98
9 81
-20 89
-15 88
-49 97
-72 95
-62 74
-70 72
-85 81
-99 93
-97 81
-85 69
-89 62
